Data,Type GRL,SwType,Hmin,Hmax,Question,Reponse
c_ang_pste_isc,STW_U16_0_1439D95_0_7FFF_8f2,u16,0,7FF,,
c_dly_n_sp_dec_pste,S_U16_D01_655D35_1_FFFF_6f2,u16,1,FFFF,,
c_dri_vs_min_vb,KMdH_U8_0_255_0_FF_3f0,u8,0,FF,,
c_n_dif_crlc,NO_U8_0_D996094_0_FF_5f3,u8,0,FF,,
c_n_dif_fac,NO_U8_0_0D996094_0_FF_5f3,u8,0,FF,,
c_n_dif_min_mmv,RPM_S16_M32768_32767_8000_7FFF_6f0,s16,8000,7FFF,,
c_n_sp_dec_cs,RPMd10MS_U8_0D0625_15D9375_1_FF_5f2,u8,1,FF,,
c_n_sp_dec_pste,RPMd10MS_U8_0D0625_15D9375_1_FF_5f2,u8,1,FF,,
c_n_sp_heat_at,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE0,,
c_n_sp_heat_mt,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE0,,
c_n_sp_inc_cs,RPMd10MS_U8_0D0625_15D9375_1_FF_5f2,u8,1,FF,,
c_n_sp_inc_pste,RPMd10MS_U8_0D0625_15D9375_1_FF_5f2,u8,1,FF,,
c_n_sp_is_ars_at,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
c_n_sp_is_ars_mt,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
c_n_sp_is_pste_2_at,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
c_n_sp_is_pste_2_mt,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
c_n_sp_is_sa_eol,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE0,,
c_n_sp_lgrd_is_lih,ENSC_RPMd10MS_U8_D25_63D75_1_FF_4f2,u8,1,FF,,
c_n_sp_ofs_kwp_max,RPM_U16_0_32767_0_7FFF_5f0,u16,0,7FFF,,
c_n_sp_ofs_kwp_min,RPM_U16_M32768_M1_8000_FFFF_6f0,u16,8000,FFFF,,
c_tam_hys,C_U8_0_48_0_40_4f1,u8,0,40,,
c_tam_n_sp_heat,C_U8_M48_142D5_0_FE_5f1,u8,0,FE,,
c_vel_ang_pste_isc,STW_U16_0_1439D95_0_7FFF_8f2,u16,0,7FF,,
c_vs_hys_n_sp_cs,KMdH_U8_0_255_0_FF_3f0,u8,0,FF,,
c_vs_max_n_sp_cs,KMdH_U8_0_255_0_FF_3f0,u8,0,FF,,
c_vs_max_n_sp_is_ars,KMdH_U8_0_255_0_FF_3f0,u8,0,FF,,
c_vs_min_n_sp_is_ars,KMdH_U8_0_255_0_FF_3f0,u8,0,FF,,
c_vs_min_n_sp_pste,KMdH_U8_0_255_0_FF_3f0,u8,0,FF,,
c_vs_min_n_sp_pste_2,KMdH_U8_0_255_0_FF_3f0,u8,0,FF,,
lc_is_n_sp_cs_dis,FLAG,u8,0,1,,
lv_acin,FLAG,u8,0,1,,
lv_act_n_sp_is_bas_ext_adj,FLAG,u8,0,1,,
lv_act_n_sp_is_ext_adj,FLAG,u8,0,1,,
lv_act_sa_eol,FLAG,u8,0,1,,
lv_at,FLAG,u8,0,1,,
lv_cs,FLAG,u8,0,1,,
lv_cs_vs_in_hys,FLAG,u8,0,1,,
lv_dly_n_sp_is,FLAG,u8,0,1,,
lv_dri,FLAG,u8,0,1,,
lv_is,FLAG,u8,0,1,,
lv_n_dif_crlc_marc,FLAG,u8,0,1,,
lv_n_dif_trans_is,FLAG,u8,0,1,,
lv_n_sp_is_cs,FLAG,u8,0,1,,
lv_n_sp_is_lih_act,FLAG,u8,0,1,,
lv_n_sp_is_pow_act,FLAG,u8,0,1,,
lv_n_sp_is_pste,FLAG,u8,0,1,,
lv_n_sp_is_pste_2,FLAG,u8,0,1,,
lv_n_sp_is_ramp_cs,FLAG,u8,0,1,,
lv_n_sp_is_ramp_end,FLAG,u8,0,1,,
lv_n_sp_is_ramp_pste,FLAG,u8,0,1,,
lv_n_sp_is_ramp_pste_2,FLAG,u8,0,1,,
lv_pste_2_disable,FLAG,u8,0,1,,
lv_pste_disable,FLAG,u8,0,1,,
lv_req_heat,FLAG,u8,0,1,,
lv_req_heat_n_sp_is,FLAG,u8,0,1,,
lv_st_end,FLAG,u8,0,1,,
lv_t_dly_pste_2_run,FLAG,u8,0,1,,
lv_t_dly_pste_run,FLAG,u8,0,1,,
lv_var_acin,FLAG,u8,0,1,,
lv_var_amt,FLAG,u8,0,1,,
lv_var_ars,FLAG,u8,0,1,,
lv_var_pste_2,FLAG,u8,0,1,,
n,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
n_dif,RPM_S16_M32768_32767_8000_7FFF_6f0,s16,8000,7FFF,,
n_dif_cor,RPM_S16_M32768_32767_8000_7FFF_6f0,s16,8000,7FFF,,
n_dif_mmv,RPM_S16_M32768_32767_8000_7FFF_6f0,s16,8000,7FFF,,
n_dif_st,RPM_S16_M32768_32767_8000_7FFF_6f0,s16,8000,7FFF,,
n_fast,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
n_max_tol_st,RPM_U8_0_8160_0_FF_4f0,u8,0,FF,,
n_sp_is,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
n_sp_is_2,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
n_sp_is_3,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
n_sp_is_brake,RPM_U16_0_32767_0_7FFF_5f0,u16,0,7FFF,,
n_sp_is_cs,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
n_sp_is_lih,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
n_sp_is_pow,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
n_sp_is_pow_1,u16,u16,0,1FE,,
n_sp_is_pste,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
n_sp_is_ratio,NO_U16_0_7D999878_0_FFFF_6f4,u16,0,FFFF,,
n_sp_is_toil,RPM_U16_0_8160_0_1FE0_4f0,u16,0,1FE,,
n_sp_ofs_kwp,RPM_S8_M256_254_80_7F_4f0,s8,80,7F,,
t_ast,S_U16_0_6553D5_0_FFFF_6f1,u16,0,FFFF,,
tam,C_U8_M48_142D5_0_FE_5f1,u8,0,FE,,
vs,KMdH_U8_0_255_0_FF_3f0,u8,0,FF,,
tco,C_U8_M48_142D5_0_FE_5f1,u8,0,FE,,
